44990687,-416,-96,15752,299,-419,-366
44995687,-376,-160,15656,240,-405,-382
45000687,-248,-156,15788,257,-422,-438
45005687,-344,-80,15684,267,-420,-528
45010687,-392,-176,15844,319,-418,-543
45015687,-412,-168,15784,372,-448,-586
45020687,-436,-176,15764,390,-436,-581
45025687,-368,-168,15704,434,-404,-590
45030687,-384,-116,15684,504,-402,-565
45035687,-360,-136,15804,531,-483,-554
45040687,-460,-108,15768,588,-510,-533
45045687,-428,-152,15724,599,-561,-485
45050687,-436,-92,15636,656,-637,-498
45055687,-448,-24,15796,766,-693,-459
45060687,-464,-128,15736,886,-733,-432
45065687,-404,-72,15808,1032,-786,-411
45070687,-452,-140,15748,1172,-818,-428
45075687,-440,-140,15832,1281,-897,-459
45080687,-520,-264,15768,1475,-1014,-476
45085687,-576,-156,15680,1647,-1346,-433
45090687,-724,-108,15424,1611,-1753,-421
45095687,-740,60,15456,1456,-2251,-406
45100687,-672,-4,15452,1282,-2723,-392
45105687,-536,20,15708,1250,-3002,-377
45110687,-396,24,15640,1246,-3339,-393
45115687,-136,-52,15836,1259,-3562,-431
45120687,228,-192,15828,1413,-3754,-379
45125695,344,8,16128,1496,-3875,-389
45130699,400,444,17088,1462,-3794,-448
45135711,188,40,18688,919,-3274,-507
45140718,424,-984,16180,1548,-3287,-400
45145726,584,-852,15724,2310,-3507,-268
45150726,616,-836,16464,2862,-3627,-157
45155734,628,-1192,16920,3458,-3584,-35
45160738,780,-1524,17100,4262,-3513,280
45165738,1056,-2152,17296,5338,-3462,682
45170746,1376,-2348,17580,6301,-3464,1239
45175753,1692,-2192,17792,6783,-3631,1842
45180761,1968,-1852,18056,6711,-3918,2445
45185761,2048,-1640,18812,6334,-4190,2950
45190761,2000,-1468,19368,6038,-4435,3427
45195761,1748,-1188,19980,5651,-4603,3920
45200761,1656,-664,20632,4899,-4781,4311
45205761,1480,-296,21212,3960,-4812,4686
45210761,1396,96,21780,2998,-4727,4918
45215761,1216,448,22416,2030,-4406,5014
45220761,996,712,22824,1107,-3927,5044
45225761,892,1052,23264,344,-3339,5008
45230761,700,1228,23368,-322,-2583,4873
45235761,504,1288,23492,-883,-1739,4749
45240761,420,1492,23216,-1322,-932,4530
45245761,392,1432,23052,-1471,4,4201
45250761,284,1608,22688,-1303,841,3895
45255761,156,1668,22192,-1179,1639,3627
45260761,16,1624,21588,-936,2235,3319
45265761,-140,1656,20876,-738,2634,3017
45270761,-212,1648,20220,-548,2884,2757
45275761,-308,1576,19620,-262,2957,2517
45280761,-376,1480,19108,144,2848,2418
45285761,-436,1408,18668,359,2672,2237
45290761,-516,1392,18324,482,2281,2159
45295761,-464,1336,18012,609,1918,2063
45300761,-532,1184,18120,758,1490,2027
45305761,-564,1284,18048,684,1081,2060
45310761,-488,1224,18208,701,812,2110
45315761,-428,1180,18192,871,486,2145
45320761,-444,1192,18388,1063,281,2180
45325761,-464,1208,18596,1356,124,2186
45330761,-436,1256,18824,1765,72,2246
45335761,-404,1568,19192,2093,91,2299
45340761,-312,1820,19396,2327,188,2281
45345761,-144,2020,19524,2405,347,2239
45350761,-156,2140,19588,2549,500,2156
45355761,-92,2332,19812,2575,748,2074
45360761,-112,2380,19868,2585,1049,1945
45365761,-80,2468,19864,2529,1327,1806
45370761,-100,2372,19884,2429,1613,1666
45375761,-44,2480,19740,2277,1922,1521
45380761,-72,2360,19708,2134,2267,1392
45385761,-104,2236,19540,2069,2631,1312
45390761,-160,2164,19300,2020,2917,1193
45395761,-240,2124,19060,1849,3154,1124
45400761,-204,2000,18848,1596,3378,1082
45405761,-236,1844,18548,1297,3574,1132
45410761,-356,1748,17904,908,3663,1175
45415761,-380,1716,17356,487,3693,1196
45420761,-424,1592,16788,204,3561,1284
45425761,-424,1460,16336,14,3358,1335
45430761,-596,1448,15932,-11,3103,1418
45435761,-616,1316,15500,27,2676,1454
45440761,-616,1140,15344,252,2233,1491
45445761,-696,1096,15384,690,1898,1537
45450761,-724,1028,15676,1279,1650,1598
45455761,-708,1020,15940,1929,1463,1604
45460761,-772,1216,16300,2448,1427,1616
45465761,-796,1528,16580,2784,1482,1556
45470761,-824,1784,16792,2860,1506,1453
45475761,-848,1996,16904,2923,1568,1308
45480761,-944,2040,16944,3006,1754,1113
45485761,-1068,2048,16952,3076,1899,978
45490761,-1092,2048,17004,2854,2003,799
45495761,-1052,2032,16916,2487,2057,682
45500761,-1032,2120,16824,2085,2021,580
45505761,-1004,1988,16712,1610,2030,492
45510761,-940,1864,16532,1053,1976,470
45515761,-928,1668,16524,487,1978,462
45520761,-916,1592,16356,-87,1919,518
45525761,-904,1348,16272,-461,1889,644
45530761,-860,1136,16164,-826,1961,787
45535761,-748,1084,15988,-1109,1965,981
45540761,-728,1080,15916,-1191,2024,1161
45545761,-804,1112,15504,-1212,1988,1394
45550761,-952,1144,15436,-1252,1914,1562
45555761,-1108,1304,15268,-1135,1887,1680
45560761,-1152,1372,15404,-899,1920,1718
45565761,-1280,1536,15232,-745,1847,1652
45570761,-1388,1720,15140,-561,1726,1508
45575761,-1420,1820,15172,-387,1623,1380
45580761,-1384,1928,15220,-62,1702,1210
45585761,-1508,2120,15136,126,1759,986
45590761,-1556,2160,15336,204,1700,705
45595761,-1488,2192,15564,347,1780,358
45600761,-1400,2192,15696,321,1905,43
45605761,-1388,1992,15664,261,2083,-197
45610761,-1376,1952,15632,74,2217,-465
45615761,-1188,1648,15448,-7,2389,-677
45620761,-1200,1360,15152,-16,2460,-836
45625761,-1188,1056,14664,-87,2457,-908
45630761,-1100,708,14488,-27,2354,-935
45635761,-1092,360,14300,65,2214,-769
45640761,-1104,180,14196,188,2109,-592
45645761,-1116,192,14048,328,2049,-389
45650761,-1224,184,13984,467,1950,-182
45655761,-1316,176,14004,787,1924,12
45660761,-1436,336,13968,1079,1840,125
45665761,-1476,656,14032,1350,1752,200
45670761,-1616,812,14032,1386,1658,243
45675761,-1700,976,14224,1382,1503,212
45680761,-1752,1120,14272,1391,1485,241
45685761,-1812,1348,14308,1244,1492,234
45690761,-1928,1604,14340,895,1400,216
45695761,-1948,1820,14312,468,1356,110
45700761,-2024,1868,14348,-35,1299,45
45705761,-2076,1876,14336,-534,1134,-45
45710761,-2160,1740,14432,-901,1111,-122
45715765,-2124,1748,14540,-1202,1149,-135
45720765,-2120,1724,14484,-1457,1165,-183
45725765,-2184,1700,14424,-1687,1263,-261
45730765,-2132,1656,14160,-1871,1292,-282
45735765,-2188,1508,14040,-2020,1303,-340
45740765,-2300,1364,13984,-1900,1344,-361
45745765,-2320,1196,13632,-1697,1269,-336
45750765,-2392,1228,13472,-1530,1116,-360
45755765,-2404,1280,13484,-1276,874,-425
45760765,-2280,1304,13484,-1021,706,-596
45765765,-2212,1296,13668,-586,580,-725
45770765,-2320,1144,13768,-77,544,-913
45775765,-2232,1124,13940,525,523,-1096
45780769,-2200,1168,14124,1062,446,-1285
45785777,-2120,1080,14172,1406,311,-1508
45790784,-2152,992,14352,1675,159,-1646
45795788,-2200,1000,14832,1801,27,-1744
45800796,-2192,992,15216,1744,-34,-1832
45805804,-2104,988,15632,1494,-42,-1937
45810812,-1976,832,15948,1170,-3,-2110
45815820,-2000,572,16336,780,113,-2163
45820823,-2084,240,16376,481,313,-2157
45825831,-2000,48,16400,283,519,-2080
45830831,-2040,-60,16268,222,790,-2044
45835831,-1908,-108,16076,267,1035,-1960
45840831,-2040,-284,15708,319,1210,-1858
45845831,-2048,-460,15452,410,1317,-1682
45850831,-2116,-488,14968,651,1240,-1471
45855831,-2208,-308,14568,955,1189,-1226
45860831,-2264,-160,14556,1351,974,-1052
45865831,-2268,56,14432,1856,754,-818
45870831,-2464,396,14448,2195,403,-707
45875831,-2588,840,14772,2248,70,-599
45880831,-2584,1312,15160,2171,-181,-554
45885831,-2564,1528,15536,2090,-316,-613
45890831,-2644,1804,16056,2037,-296,-764
45895831,-2620,2024,16376,1812,-253,-899
45900831,-2604,1968,16616,1529,-69,-1067
45905831,-2480,1904,16916,1428,92,-1206
45910831,-2592,1856,16908,1143,402,-1291
45915831,-2464,1744,16640,705,618,-1346
45920831,-2632,1460,16324,95,738,-1318
45925831,-2608,1148,15984,-271,766,-1237
45930831,-2560,948,15768,-395,799,-1147
45935831,-2516,928,15360,-405,796,-1028
45940831,-2508,900,15120,-516,671,-938
45945831,-2608,640,14844,-352,543,-778
45950831,-2644,536,14604,83,544,-600
45955831,-2728,560,14388,819,473,-466
45960831,-2740,740,14344,1608,328,-347
45965831,-2812,1036,14408,2248,93,-267
45970831,-2920,1308,14640,2722,-49,-245
45975831,-2912,1676,14968,3061,-198,-216
45980831,-2964,2168,15372,3232,-295,-301
45985831,-2880,2456,15608,3027,-385,-458
45990831,-2876,2680,16152,2649,-447,-557
45995831,-2816,2720,16436,2238,-377,-630
46000831,-2792,2632,16880,1745,-242,-712
46005831,-2784,2532,16912,1249,13,-819
46010831,-2864,2516,16968,499,237,-879
46015831,-2584,2360,16764,-189,417,-884
46020831,-2444,2172,16352,-712,544,-950
46025831,-2360,1688,16084,-1062,646,-866
46030831,-2436,1364,15672,-1288,780,-765
46035831,-2464,1224,15160,-1365,823,-641
46040831,-2396,1040,14560,-1276,758,-534
46045839,-2476,1028,14224,-1112,619,-454
46050847,-2648,1052,13976,-812,495,-480
46055851,-2572,988,13820,-321,395,-498
46060859,-2728,980,13616,320,200,-476
46065872,-2904,1160,13464,1053,52,-473
46070872,-2904,1400,13420,1669,-241,-451
46075872,-2948,1764,13712,2290,-466,-512
46080872,-2876,2196,13872,2738,-582,-664
46085872,-2880,2772,14200,2768,-874,-928
46090872,-2680,3164,14532,2286,-1078,-1167
46095872,-2668,3116,15156,1652,-1228,-1441
46100872,-2624,2836,15844,1069,-1195,-1626
46105872,-2572,2544,16268,700,-1030,-1724
46110872,-2480,2456,16632,284,-752,-1874
